time_microsecond,count
0,10
5835,10
11841,10
17795,10
23994,10
29660,-10
29950,10
35893,10
41901,10
47874,10
53888,10
59662,-10
59858,10
65874,10
71784,10
77781,10
83773,10
89662,-10
89844,10
95826,10
101863,10
107781,10
113867,10
119663,-10
119904,10
125772,10
131835,10
137852,10
143837,10
149662,-10
149821,10
155866,10
161859,10
167793,10
173889,10
179660,-10
179856,10
185868,10
191870,10
197829,10
203782,10
209741,-10
210064,10
215825,10
221821,10
227844,10
233823,10
239687,-10
239812,10
245778,10
251894,10
257904,10
263884,10
269656,-10
269803,10
275788,10
281837,10
287871,10
293852,10
299664,-10
300004,10
305802,10
311799,10
317883,10
323913,10
329663,-10
329983,10
335973,10
341819,10
347885,10
353873,10
359663,-10
359981,10
365923,10
371959,10
377953,10
383799,10
389666,-10
390339,10
396870,10
402877,10
408865,10
414887,10
419657,-10
420867,10
426859,10
432863,10
438947,10
444915,10
449657,-10
450894,10
456865,10
462858,10
468884,10
474874,10
479737,-10
480967,10
486795,10
492955,10
498883,10
504864,10
509654,-10
510959,10
516873,10
522893,10
528869,10
534866,10
539654,-10
540876,10
546862,10
552905,10
558799,10
564787,10
569657,-10
570879,10
576959,10
582879,10
588873,10
594867,10
599655,-10
600900,10
606859,10
612797,10
618784,10
624867,10
629681,-10
630915,10
636870,10
642920,10
648783,10
654907,10
659660,-10
660901,10
666801,10
672788,10
678860,10
684890,10
689660,-10
690866,10
696875,10
702868,10
708903,10
714868,10
719655,-10
720898,10
726892,10
732882,10
738862,10
744863,10
749646,-10
750798,10
756793,10
762889,10
768864,10
774888,10
779657,-10
780795,10
786806,10
792898,10
798866,10
804853,10
809648,-10
810895,10
816868,10
822866,10
828877,10
834858,10
839659,-10
841178,10
847778,10
853905,10
859886,10
865800,10
869657,-10
871791,10
877872,10
883909,10
889868,10
895896,10
899663,-10
901868,10
907934,10
913793,10
919913,10
925861,10
929731,-10
931794,10
937815,10
943891,10
949886,10
955872,10
959692,-10
961877,10
967871,10
973794,10
979792,10
985888,10
989665,-10
991887,10
997863,10
1003858,10
1009876,10
1015862,10
1019663,-10
1021860,10
1027863,10
1033869,10
1039864,10
1045923,10
1049669,-10
1051891,10
1057862,10
1063872,10
1069864,10
1075868,10
1079668,-10
1081864,10
1087897,10
1093861,10
1099867,10
1105895,10
1109693,-10
1111899,10
1117883,10
1123863,10
1129867,10
1135861,10
1139667,-10
1141900,10
1147887,10
1153897,10
1159900,10
1165886,10
1169669,-10
1171892,10
1177886,10
1183871,10
1189872,10
1195871,10
1199666,-10
1201880,10
1207894,10
1213880,10
1219863,10
1225867,10
1229687,-10
1231796,10
1237785,10
1243886,10
1249904,10
1255972,10
1259659,-10
1261996,10
1267807,10
1273964,10
1279856,10
1285816,10
1289657,-10
1292976,10
1298827,10
1304845,10
1310826,10
1316855,10
1320644,-10
1322842,10
1328847,10
1334874,10
1340867,10
1346855,10
1350627,-10
1352849,10
1358820,10
1364837,10
1370843,10
1376862,10
1380640,-10
1382820,10
1388888,10
1394826,10
1400863,10
1406849,10
1410625,-10
1412841,10
1418820,10
1424846,10
1430843,10
1436850,10
1440673,-10
1442841,10
1448842,10
1454817,10
1460866,10
1466822,10
1470626,-10
1472866,10
1478821,10
1484860,10
1490822,10
1496855,10
1500643,-10
1502842,10
1508858,10
1514832,10
